car,year,firm_id,firm_name,division,model,hybrid,segm1,Quantity,Price,wheel_base,length,width,weight,disp,hp,mpg_city,mpg_highway
0,2005,3,HONDA,Acura,MDX,0,39,57948,36970,106.3,188.7,77,4451,3.5,265,17,23
0,2005,8,BMW,BMW,X3,0,39,30769,30995,110.1,179.7,73,4001,2.5,184,17,24
0,2005,8,BMW,BMW,X5,0,39,37598,42395,111,183.7,73.7,4652,3,225,15,21
0,2005,19,GM,Buick ,Rainier,0,34,15271,35765,113,193.4,75.4,4442,4.2,275,16,21
0,2005,19,GM,Buick ,Rendezvous,0,38,60589,27270,112.2,186.5,73.6,4024,3.4,185,19,26
0,2005,19,GM,Cadillac,Escalade,0,34,29876,53715,116,198.9,78.9,5367,5.3,295,14,18
0,2005,19,GM,Cadillac,Escalade EXT,0,35,21268,53895,130,221,79.5,5886,6,345,13,17
0,2005,19,GM,Cadillac,SRX,0,39,22999,39035,116,195,72.6,4229,3.6,255,16,23
0,2005,19,GM,Chevrolet,Astro,0,21,19215,25040,111.2,189.8,77.5,4321,4.3,190,16,20
0,2005,19,GM,Chevrolet,Avalanche,0,35,63186,34170,130,221.7,79.8,5437,5.3,295,14,18
0,2005,19,GM,Chevrolet,Blazer,0,32,4936,21850,100.5,176.8,67.8,3591,4.3,190,15,21
0,2005,19,GM,Chevrolet,Colorado,0,41,128359,16430,111.3,192.8,67.6,3117,2.8,175,21,27
0,2005,19,GM,Chevrolet,Equinox,0,38,130542,21660,112.5,188.8,71.4,3660,3.4,185,19,25
0,2005,19,GM,Chevrolet,Express/VAN,0,22,127585,23575,135,224.1,79.4,4845,4.3,195,14,18
0,2005,19,GM,Chevrolet,Silverado C/K,0,42,705980,19620,119,203.3,78.5,4142,4.3,195,17,23
0,2005,19,GM,Chevrolet,SSR,0,41,8107,43055,116,191.4,78.6,4760,5.3,300,17,23
0,2005,19,GM,Chevrolet,Suburban,0,33,87011,38875,130,219.3,78.9,4947,5.3,285,14,19
0,2005,19,GM,Chevrolet,Tahoe,0,33,152305,36025,116,196.9,78.9,4828,4.8,285,14,18
0,2005,19,GM,Chevrolet,Trailblazer,0,32,244150,28405,113,191.8,74.6,4417,4.2,275,16,21
0,2005,19,GM,Chevrolet,Venture,0,21,7029,24080,211,200.9,72,3838,3.4,185,19,26
0,2005,16,CHRYSLER,Chrysler,Pacifica,0,39,85557,27975,116.3,198.9,79.3,4560,3.5,250,17,22
0,2005,16,CHRYSLER,Chrysler,Town & country,0,21,180759,25640,119.3,200.6,78.6,4239,3.3,180,19,26
0,2005,16,CHRYSLER,Dodge,Caravan,0,21,24944,18995,113.3,189.3,78.6,3817,2.4,150,20,26
0,2005,16,CHRYSLER,Dodge,Dakota,0,41,104051,20019,131,218.8,71.6,4306,3.7,210,16,22
0,2005,16,CHRYSLER,Dodge,Durango,0,32,115439,27380,119.2,200.8,76,4671,3.7,210,16,21
0,2005,16,CHRYSLER,Dodge,Magnum,0,38,52487,22495,120,197.7,74.1,3847,2.7,190,21,28
0,2005,16,CHRYSLER,Dodge,Ram,0,42,400543,25415,140.5,229.7,79.6,5453,5.7,345,12,16
0,2005,18,FORD,Ford,Econoline van/wagon,0,22,179543,23330,138,211.9,79.3,4773,4.6,225,15,19
0,2005,18,FORD,Ford,Escape,0,38,165122,19995,103.1,174.9,70.1,3176,2.3,153,23,27
0,2005,18,FORD,Ford,Excursion,0,33,16283,37810,137.1,226.4,79.9,6680,5.4,255,12,15
0,2005,18,FORD,Ford,Expedition,0,33,114137,33365,119.1,205.8,78.6,5352,5.4,300,13,17
0,2005,18,FORD,Ford,Explorer,0,32,239788,31020,113.7,189.5,72.1,4309,4.6,239,15,20
0,2005,18,FORD,Ford,Freestar,0,21,77585,22295,120.8,201,76.6,4150,3.9,193,18,23
0,2005,18,FORD,Ford,F series,0,42,901463,23365,137,226.6,76.5,5648,5.4,300,14,17
0,2005,18,FORD,Ford,Ranger,0,41,120958,14985,111.5,188.5,66.2,3010,2.3,148,24,29
0,2005,18,FORD,Ford ,Freestyle,0,38,76739,25595,112.9,199.8,73,3959,3,203,20,27
0,2005,19,GM,GMC,Canyon,0,41,34845,16760,111.3,192.4,67.6,3375,2.8,175,21,27
0,2005,19,GM,GMC,Envoy,0,32,107862,30435,113,191.6,74.7,4425,4.2,275,16,21
0,2005,19,GM,GMC,Safari,0,21,3436,25040,111.2,189.8,77.5,4309,4.3,190,16,20
0,2005,19,GM,GMC,Savana,0,22,34765,26305,135,224.1,79.4,5258,4.3,195,14,18
0,2005,19,GM,GMC,Sierra,0,42,229488,19620,119,205.7,78.5,4225,4.3,195,17,23
0,2005,19,GM,GMC,Suburban Yukon XLon xL,0,33,53652,39535,130,219.3,78.9,5268,5.3,295,14,19
0,2005,19,GM,GMC,Yukon Denali,0,33,73458,36485,116,198.8,78.8,4975,4.8,285,16,20
0,2005,3,HONDA,Honda,CR-V,0,38,150219,20510,103.3,181,70.2,3318,2.4,160,23,29
0,2005,3,HONDA,Honda,Element,0,38,56262,16615,101.4,166.5,71.5,3331,2.4,160,21,26
0,2005,3,HONDA,Honda,Odyssey,0,21,174275,25510,118.1,201.2,75.6,4378,3.5,255,19,25
0,2005,3,HONDA,Honda,Pilot,0,38,143353,27865,106.3,188,77.3,4414,3.5,255,17,22
0,2005,19,GM,Hummer,HUMME2,0,34,23213,52000,122.8,203.5,81.2,6400,6,325,12,15
0,2005,21,HYUNDAI,Hyundai,Santa Fe,0,38,68006,22094,103.1,177.2,72.7,3549,2.7,170,19,25
0,2005,21,HYUNDAI,Hyundai,Tucson,0,38,61048,18094,103.5,170.3,70.7,3240,2,140,22,27
0,2005,2,NISSAN,Infiniti,Fx,0,39,26786,35340,112.2,189.1,75.8,4110,3.5,280,17,23
0,2005,2,NISSAN,Infiniti,QX56,0,34,14711,48430,123.2,206.9,78.8,5360,5.6,315,13,19
0,2005,13,ISUZU,Isuzu,Ascender,0,32,7585,29254,129,207.6,76.1,4790,4.2,275,15,19
0,2005,16,CHRYSLER,Jeep,Grand Cherokee,0,32,213584,26775,109.5,186.6,84.3,4254,3.7,210,16,21
0,2005,16,CHRYSLER,Jeep,Liberty,0,31,166883,19800,104.3,174.4,71.6,3648,2.4,150,20,24
0,2005,16,CHRYSLER,Jeep,Wrangler,0,31,79017,18510,93.4,150.2,71.2,3200,2.4,147,18,20
0,2005,30,KIA,Kia,Sedona,0,21,52837,20840,114.6,194.1,74.6,4802,3.5,195,16,22
0,2005,30,KIA,Kia,Sorento,0,32,47610,19635,106.7,179.8,73.3,4112,3.5,192,16,19
0,2005,32,LAND,Land Rover,Freelander,0,32,2141,27495,101.1,174.1,81.5,3640,2.5,174,17,21
0,2005,32,LAND,Land Rover,LR3,0,32,19346,44995,113.6,190.9,75.4,5426,4.4,300,14,18
0,2005,1,TOYOTA,Lexus,GX470,0,38,34339,46425,109.8,188.2,74,4871,4.7,270,15,19
0,2005,1,TOYOTA,Lexus,LX450 LX470,0,34,8555,65400,112.2,192.5,76.4,5900,4.7,235,13,17
0,2005,1,TOYOTA,Lexus,RX330,0,39,108775,36400,106.9,186.2,72.6,3860,3.3,230,19,25
0,2005,18,FORD,Lincoln,Aviator,0,34,15873,41200,113.7,193.3,73.9,4818,4.6,302,13,18
0,2005,18,FORD,Lincoln,Navigator,0,34,25844,50435,118.8,207.5,78.7,5555,5.4,300,13,18
0,2005,18,FORD,lincoln mercury,Mariner,0,38,34099,21995,103.1,174.3,70.1,3285,2.3,153,22,26
0,2005,18,FORD,lincoln mercury,Monterey,0,22,8166,29695,120.8,201,76.4,4434,4.2,201,17,23
0,2005,18,FORD,lincoln mercury,Mountaineer,0,32,32491,29995,113.8,190.9,72.3,4414,4,210,16,21
0,2005,4,MAZDA,Mazda,B-series,0,41,5872,15935,111.6,187.5,69.4,3994,2.3,143,24,29
0,2005,4,MAZDA,Mazda,MPV,0,21,17634,23485,111.8,189.5,72.1,3772,3,200,18,25
0,2005,4,MAZDA,Mazda,Tribute,0,38,36761,20220,103.1,174.4,72,3181,2.3,153,24,29
0,2005,9,MERCEDEZ,MERCEDEZ,G class,0,34,1334,78420,112.2,185.6,71.3,5545,5,292,13,14
0,2005,9,MERCEDEZ,MERCEDEZ,ML320,0,39,34959,38670,111,182.6,72.4,4819,3.7,232,15,18
0,2005,10,MITSUBIS,Mitsubishi,Endeavor,0,38,20994,25994,108.3,190.2,73.6,3869,3.8,225,17,23
0,2005,10,MITSUBIS,Mitsubishi,Montero,0,32,2778,35799,109.7,190.2,74.8,4787,3.8,215,15,19
0,2005,10,MITSUBIS,Mitsubishi,Outlander,0,38,11848,18394,103.3,179.1,68.9,3240,2.4,160,22,28
0,2005,2,NISSAN,Nissan,Armada,0,39,39508,34250,123.2,206.9,78.8,5168,5.6,305,13,19
0,2005,2,NISSAN,Nissan,Frontier,0,41,72838,16080,125.9,205.5,72.8,3675,2.5,154,22,25
0,2005,2,NISSAN,Nissan,Murano,0,38,74454,27500,111.2,187.6,74,2269,3.5,245,20,25
0,2005,2,NISSAN,Nissan,Pathfinder,0,32,76000,25210,112.2,187.6,72.8,4376,4,270,16,23
0,2005,2,NISSAN,Nissan,Quest,0,21,40357,23910,124,204.1,77.6,4040,3.5,240,19,26
0,2005,2,NISSAN,Nissan,Titan,0,42,86945,23300,139.8,224.2,78.8,5019,5.6,305,14,19
0,2005,2,NISSAN,Nissan,Xterra,0,31,72447,23300,106.3,178.7,72.8,4081,4,265,14,19
0,2005,19,GM,Pontiac,Aztek,0,38,5020,22060,108.3,182.2,73.6,3779,3.4,185,19,26
0,2005,19,GM,Pontiac,MONTANA TRANS SPORT Sport,0,21,23439,25235,121.1,205.5,72,4206,3.5,200,18,24
0,2005,12,PORSCHE,Porsche,Cayenne,0,39,13607,41915,112.4,188.3,75.9,4949,3.2,247,16,20
0,2005,19,GM,SATURN,Vue,0,38,91972,17630,106.6,181.3,71.6,3207,2.2,143,23,28
0,2005,5,SUBARU,SUBARU,baja,0,38,6239,24770,104.3,193.3,70.1,3485,2.5,210,19,25
0,2005,5,SUBARU,subaru,forester,0,38,53541,21870,99.4,175.2,68.3,3090,2.5,165,23,30
0,2005,31,SUZUKI,Suzuki,Grand Vitara,0,31,8624,18994,97.6,164.6,70.1,3108,2.5,165,19,22
0,2005,1,TOYOTA,Toyota,4 Runner,0,32,103830,28060,109.8,189,73.8,4045,4,245,18,21
0,2005,1,TOYOTA,Toyota,Highlander,0,38,137409,24645,106.9,184.4,71.9,3520,2.4,160,22,27
0,2005,1,TOYOTA,Toyota,Land Cruiser,0,34,4870,55590,112.2,192.5,76.4,5390,4.7,235,13,17
0,2005,1,TOYOTA,Toyota,RAV4,0,38,70518,19115,98,166.6,68.3,2897,2.4,161,24,30
0,2005,1,TOYOTA,Toyota,Sequoia,0,33,45905,33035,118.1,203.9,78.9,4875,4.7,282,15,18
0,2005,1,TOYOTA,Toyota,Sienna,0,21,161380,23790,119.3,200,77.4,4210,3.3,230,19,27
0,2005,1,TOYOTA,Toyota,Tacoma,0,41,168831,13980,109.4,190.4,72.2,3140,2.7,164,20,27
0,2005,1,TOYOTA,Toyota,Tundra,0,42,126529,16520,128.3,218.3,75.2,3935,4,245,17,21
0,2005,59,TOYOTA,TOYOTA,scion xb,0,31,54037,14195,98.4,155.3,66.5,2395,1.5,108,30,34
0,2005,7,VOLKS,volkswagen,Touareg,0,39,18050,37755,112.4,187.2,75.9,5086,3.2,240,15,20
0,2005,6,VOLVO,Volvo,XC90,0,39,35976,35525,112.6,188.9,74.4,4450,2.5,208,18,24
1,2005,3,HONDA,acura ,RSX,0,2,20809,20745,101.2,172.2,67.9,2734,2,160,27,34
1,2005,3,HONDA,acura ,RL,0,5,17572,49470,110.2,193.6,72.7,3984,3.5,300,18,26
1,2005,3,HONDA,acura ,TL,0,5,78218,33470,107.9,189.3,72.2,3483,3.2,270,20,29
1,2005,3,HONDA,acura ,TSX,0,3,34856,27060,105.1,183.3,69.4,3230,2.4,200,22,30
1,2005,7,VOLKS,audi,A6,0,5,18074,41620,111.9,193.5,79.2,3957,3.2,255,17,23
1,2005,7,VOLKS,audi,A8,0,5,5430,70620,121.1,204,74.6,4399,4.2,335,18,24
1,2005,7,VOLKS,audi,allroad,0,5,2429,40970,108.5,189.4,76.1,4167,2.7,250,16,23
1,2005,7,VOLKS,audi,TT,0,5,2822,34220,95.4,159.1,73.1,2987,1.8,180,20,28
1,2005,7,VOLKS,audi ,A4,0,2,48922,26520,104.3,179,76.3,3252,1.8,170,23,30
1,2005,8,BMW,bmw,325i,0,2,106950,29995,107.3,176,68.5,3219,2.5,184,20,29
1,2005,8,BMW,bmw,525i,0,5,52722,41995,113.7,190.6,72.7,3417,2.5,184,19,28
1,2005,8,BMW,bmw,745i,0,5,18165,70595,117.7,198,74.9,4376,4.4,325,18,26
1,2005,8,BMW,bmw,z4,0,5,10045,34995,98.2,161.1,70.1,2932,2.5,184,21,28
1,2005,19,GM,buick,lacrosse,0,4,92669,23495,110.5,198.1,73,3585,3.8,200,20,27
1,2005,19,GM,buick,lesabre,0,4,75369,27270,112.2,200,73.5,3567,3.8,205,20,29
1,2005,19,GM,cadillac,CTS DTS DTS,0,5,61512,31060,113.4,190.1,70.6,3568,3.2,220,18,27
1,2005,19,GM,cadillac,deville,0,5,38661,46490,115.3,207.2,74.4,3984,4.6,275,18,24
1,2005,19,GM,cadillac,STS,0,5,33497,40995,116.4,196.3,72.6,3857,3.6,255,17,24
1,2005,19,GM,chevrolet,cobalt,0,2,212667,14190,103.3,180.5,67.9,2868,2.2,145,25,29
1,2005,19,GM,chevrolet,corvette,0,5,32489,44245,106,175,73,3179,6,400,18,26
1,2005,19,GM,chevrolet,impala,0,4,246481,22880,110.5,200,73,3343,3.4,180,21,32
1,2005,19,GM,chevrolet,malibu,0,3,203503,19710,106.3,188.3,69.9,3174,2.2,145,24,35
1,2005,19,GM ,chevrolet,monte carlo,0,3,33562,22810,110.5,197.9,72.3,3340,3.4,180,21,32
1,2005,16,CHRYSLER,chrysler,300 series,0,4,144068,29995,120,196.8,74.1,3767,3.5,250,17,24
1,2005,16,CHRYSLER,chrysler,crossfire,0,5,14665,34620,94.5,159.8,69.5,3060,3.2,215,21,28
1,2005,16,CHRYSLER,chrysler,PT cruiser,0,1,133740,19995,103,168.8,67.1,3303,2.4,150,22,26
1,2005,16,CHRYSLER,chrysler,sebring,0,2,90294,22770,103.7,191.9,69.9,3064,2.4,142,24,28
1,2005,16,CHRYSLER,dodge,neon,0,2,113322,14160,105,174.4,67.4,2581,2,132,29,32
1,2005,16,CHRYSLER,dodge,stratus,0,3,99648,20770,108,191.2,70.6,3182,2.4,150,24,28
1,2005,18,FORD,ford,FIVE HUNDRED,0,4,107932,22795,112.9,200.7,73.7,3643,3,203,21,29
1,2005,18,FORD,ford,crown victoria,0,3,63939,24810,114.7,212,78.2,4101,4.6,224,18,25
1,2005,18,FORD,ford,focus,0,2,184825,14235,103,175.2,66.7,2697,2,136,26,32
1,2005,18,FORD,ford,mustang,0,1,160975,19410,107.1,187.6,73.9,3351,4,210,19,25
1,2005,18,FORD,ford,taurus,0,3,196919,21145,108.5,197.5,73,3306,3,155,20,27
1,2005,18,FORD,ford,thunderbird,0,5,9548,38085,107.2,186.3,72,3780,3.9,280,18,24
1,2005,3,HONDA,honda,accord,0,2,352467,20290,105.1,187.6,71.3,2994,2.4,160,26,34
1,2005,3,HONDA,honda,accord hybrid,1,2,16826,30505,107.9,189.5,71.5,3501,3,255,26,34
1,2005,3,HONDA,honda,civic,0,1,282551,14375,103.1,175.4,66.7,2500,1.7,117,36,34
1,2005,3,HONDA,honda,civic hybrid,1,1,25864,20165,103.1,175.4,66.7,2500,1.3,85,48,48
1,2005,3,HONDA,honda,insight,1,1,666,19695,94.5,155.1,66.7,1850,1,67,61,56
1,2005,21,HYUNDAI,hyundai,accent,0,1,41012,10544,96.1,166.7,65.7,2280,1.6,104,29,35
1,2005,21,HYUNDAI,hyundai,elantra,0,2,116336,13844,102.7,178.1,67.9,2635,2,138,27,32
1,2005,21,HYUNDAI,hyundai,sonata,0,2,130365,16594,106.3,186.9,71.7,3181,2.4,138,22,30
1,2005,21,HYUNDAI,hyundai,tiburon,0,1,20600,16999,99.6,173,69.3,2940,2,138,24,30
1,2005,21,HYUNDAI,hyundai,xg300,0,3,17645,24994,108.3,191.9,71.9,3651,3.5,194,18,26
1,2005,2,NISSAN,infiniti,g35 m35,0,3,68728,31290,112.2,186.5,69,3468,3.5,280,19,26
1,2005,2,NISSAN,infiniti,q45 m45,0,5,1129,56490,113,200.8,72.6,4050,4.5,340,17,23
1,2005,22,JAGUAR,jaguar,xj8,0,5,8304,61495,119.4,200.4,83,3806,4.2,294,18,26
1,2005,22,JAGUAR,jaguar,XK8,0,5,2282,70495,102,188,81.7,3779,4.2,294,18,26
1,2005,22,JAGUAR,jaguar,S-TYPE,0,5,8897,44895,114.5,193,81.1,3777,3,235,18,26
1,2005,22,JAGUAR,jaguar,X-TYPE,0,5,10941,30995,106.7,183.9,78.8,3498,2.5,192,18,26
1,2005,30,KIA,kia,amanti,0,3,18668,25790,110.2,196,72.8,4021,3.5,200,17,25
1,2005,30,KIA,kia,optima,0,3,41349,16490,106.3,185.8,71.5,3281,2.4,138,22,30
1,2005,30,KIA,kia,rio,0,1,30290,10390,94.9,166.9,65.9,2403,1.6,104,25,32
1,2005,30,KIA,kia,spectra,0,2,56088,13240,102.8,176.4,68.3,2701,2,138,24,34
1,2005,1,TOYOTA,lexus,es300,0,5,67577,32600,107.1,191.1,71.3,3472,3.3,225,21,29
1,2005,1,TOYOTA,lexus,gs300,0,5,27807,39500,110.2,189.2,70.9,3649,3,220,18,25
1,2005,1,TOYOTA,lexus,IS,0,5,15789,29980,105.1,176.6,67.7,3255,3,215,18,25
1,2005,1,TOYOTA,lexus,ls430,0,5,26043,56300,115.2,197.4,72,3990,4.3,290,18,25
1,2005,1,TOYOTA,lexus,SC430,0,5,8360,63800,103.1,177.8,72,3840,4.3,300,18,23
1,2005,18,FORD,lincoln,LS,0,5,19109,32965,114.5,194.3,73.2,3681,3,232,20,26
1,2005,18,FORD,lincoln,town car,0,5,47122,42470,117.7,216.2,78.2,4345,4.6,239,18,25
1,2005,18,FORD,lincoln mercury,grand marquis,0,4,64716,25095,114.7,212,78.2,4135,4.6,224,18,25
1,2005,18,FORD,lincoln mercury,montego,0,4,27007,24995,112.9,200.9,74.5,3680,4,203,19,26
1,2005,18,FORD,lincoln mercury,sable,0,3,24149,21595,108.5,199.7,73,3308,3,155,20,27
1,2005,4,MAZDA,MAZDA,mazda3,0,1,97388,14225,103.9,178.3,69.1,2696,2,148,18,24
1,2005,4,MAZDA,MAZDA,mazda6,0,2,71447,19540,105.3,186.8,70.1,3102,2.3,160,18,24
1,2005,4,MAZDA,MAZDA,mx-5 miata,0,1,9801,22643,89.2,155.3,66,2447,1.8,142,23,28
1,2005,9,MERCEDEZ,MERCEDEZ,C230,0,3,60658,26570,106.9,178.4,68,3250,1.8,189,24,32
1,2005,9,MERCEDEZ,MERCEDEZ,clk320,0,5,18227,45970,106.9,182.6,68.5,3515,3.2,215,20,28
1,2005,9,MERCEDEZ,MERCEDEZ,E320,0,5,50383,49220,112.4,189.7,71.3,3835,3.2,201,20,28
1,2005,9,MERCEDEZ,MERCEDEZ,S430,0,5,16036,76030,121.5,203.1,73.1,4160,4.3,275,17,26
1,2005,9,MERCEDEZ,MERCEDEZ,SL coupe,0,5,10080,90620,100.8,178.5,71.5,4065,5,302,16,23
1,2005,9,MERCEDEZ,MERCEDEZ,slk,0,5,11278,46220,95.7,160.7,70.4,3231,3.5,268,19,25
1,2005,45,MINI,mini,mini cooper,0,1,40820,16999,97.1,143.1,66.5,2700,1.6,115,28,37
1,2005,10,MITSUBIS,mitsubishi,eclipse,0,2,21193,20044,100.8,176.8,68.9,2910,2.4,142,23,31
1,2005,10,MITSUBIS,mitsubishi,galant,0,2,33976,19574,108.3,190.6,72.4,3351,2.4,160,23,30
1,2005,10,MITSUBIS,mitsubishi,lancer,0,1,27849,14574,102.4,180.5,66.8,2656,2,120,27,31
1,2005,2,NISSAN,NISSAN,350z,0,1,27278,27060,104.3,169.4,71.5,3188,3.5,287,20,26
1,2005,2,NISSAN,NISSAN,altima,0,3,255371,17760,110.2,192.3,70.4,3001,2.5,175,24,29
1,2005,2,NISSAN,NISSAN,maxima,0,3,75425,27660,111.2,193.5,71.7,3432,3.5,265,20,29
1,2005,2,NISSAN,NISSAN,sentra,0,2,119489,13060,99.8,177.5,67.3,2519,1.8,126,28,34
1,2005,19,GM,pontiac,bonneville,0,4,10037,28500,112.2,202.6,74.2,3590,3.8,205,20,29
1,2005,19,GM,pontiac,g6,0,3,124844,21300,112.3,189,70.6,3380,3.5,200,22,32
1,2005,19,GM,pontiac,grand am,0,2,31613,22990,107.2,186.3,70.4,3116,3.4,175,25,34
1,2005,19,GM,pontiac,grand prix,0,3,122398,23560,110.5,198.3,73.8,3477,3.8,200,20,28
1,2005,19,GM,pontiac,sunfire,0,1,25114,15650,104.1,182,68.4,2771,2.2,140,26,34
1,2005,19,GM ,pontiac,vibe,0,1,64271,17560,102.4,171.9,69.9,2701,1.8,130,30,34
1,2005,12,PORSCHE,porsche,911 carrera,0,5,8963,70095,92.6,175.6,71.2,3075,3.6,315,20,29
1,2005,12,PORSCHE,porsche,boxster,0,5,7879,44545,95.2,170.4,70.9,2855,2.7,240,20,29
1,2005,11,SAAB,saab,92,0,3,5940,23685,99.4,173.8,68.1,3070,2.5,165,21,28
1,2005,11,SAAB,saab,93,0,3,24108,27570,105.3,182.5,69,3175,2,175,21,28
1,2005,11,SAAB,saab,95,0,5,6023,36970,106.4,190,70.5,3580,2.3,220,20,30
1,2005,19,GM,saturn,ION,0,1,100891,11995,103.2,184.5,67.2,2692,2.2,140,26,29
1,2005,19,GM,saturn,LS,0,2,5036,21995,106.5,190.4,68.5,3237,3,182,21,27
1,2005,5,SUBARU,SUBARU,impreza,0,1,33637,18670,99.4,173.8,68.5,2972,2.5,165,23,26
1,2005,5,SUBARU,SUBARU,legacy,0,2,87788,21870,105.1,186.2,68.1,3200,2.5,168,23,25
1,2005,31,SUZUKI,suzuki,aerio,0,1,7967,13994,97.6,171.3,67.7,2661,2.3,155,25,31
1,2005,31,SUZUKI,Suzuki,forenza,0,2,41394,13994,102.4,177.2,67.9,2701,2,126,22,30
1,2005,31,SUZUKI,Suzuki,verona,0,3,8411,17994,106.3,187.6,71.5,3380,2.5,155,20,28
1,2005,59,TOYOTA,TOYOTA,tc,0,1,74415,16465,106.3,174,69.1,2905,2.4,160,22,29
1,2005,59,TOYOTA,TOYOTA,scion xa,0,1,28033,12995,93.3,154.1,66.7,2340,1.5,108,32,38
1,2005,1,TOYOTA,TOYOTA,avalon,0,4,95318,31340,111,197.2,72.8,3560,3.5,280,21,29
1,2005,1,TOYOTA,TOYOTA,camry ,0,3,431703,18585,107.1,189.2,70.1,3086,2.4,157,24,32
1,2005,1,TOYOTA,TOYOTA,celica,0,1,3113,18210,102.4,170.5,68.3,2425,1.8,140,29,36
1,2005,1,TOYOTA,TOYOTA,corolla,0,1,231848,14220,102.4,178.3,66.9,2502,1.8,130,32,38
1,2005,1,TOYOTA,TOYOTA,matrix,0,1,109442,15300,102.4,171.3,69.9,2679,1.8,130,28,33
1,2005,1,TOYOTA,toyota,prius,1,1,107897,21415,106.3,175,67.9,2890,1.5,76,60,51
1,2005,7,VOLKS,volkswagen,golf,0,1,15690,16405,98.9,164.9,68.3,2771,2,115,24,30
1,2005,7,VOLKS,volkswagen,jetta,0,2,104063,18255,98.9,172.3,68.3,2934,2,115,24,31
1,2005,7,VOLKS,volkswagen,new beetle,0,1,36339,17145,98.7,161.1,67.9,2743,2,115,25,30
1,2005,7,VOLKS,volkswagen,passat,0,3,49233,24955,106.4,185.2,68.7,3422,1.8,170,21,30
1,2005,6,VOLVO,volvo,S40,0,3,24241,23945,103.9,175.9,69.7,3084,2.4,168,20,27
1,2005,6,VOLVO,volvo,s60,0,3,24695,27920,107,180.2,71,3662,2.4,168,19,26
1,2005,6,VOLVO,volvo,v70 c70 s70,0,4,22823,29445,108.5,185.4,71,3448,2.4,168,19,26
1,2005,6,VOLVO,volvo,s80 v80,0,5,10181,36585,109.9,189.8,72.1,3576,2.5,208,19,26
